"species","lng","lat"
"Alaria esculenta",-8.298605,55.12764
"Alaria esculenta",-8.740661,54.27059
"Alaria esculenta",-8.214083,55.15207
"Alaria esculenta",-8.214083,55.15207
"Alaria esculenta",-7.377086,55.31415
"Alaria esculenta",-7.377086,55.31415
"Alaria esculenta",-9.919926,51.79828
"Alaria esculenta",-10.26538,51.72552
"Alaria esculenta",-10.26538,51.72552
"Alaria esculenta",-10.12318,53.97186
"Alaria esculenta",-10.27564,53.97204
"Alaria esculenta",-10.24658,53.976
"Alaria esculenta",-9.730919,52.65273
"Alaria esculenta",-8.840094,54.66063
"Alaria esculenta",-10.0609,52.30599
"Alaria esculenta",-10.0609,52.30599
"Alaria esculenta",-10.3297,52.11942
"Alaria esculenta",-10.3297,52.11942
"Alaria esculenta",-6.933485,52.12234
"Alaria esculenta",-8.95512,51.54359
"Alaria esculenta",-9.63626,54.32781
"Alaria esculenta",-5.459562,54.37878
"Alaria esculenta",-6.512449,55.24216
"Alaria esculenta",-6.645598,55.22232
"Alaria esculenta",-5.560049,54.2873
"Alaria esculenta",-5.606877,54.2518
"Alaria esculenta",-5.656038,54.2268
"Alaria esculenta",-5.52722,54.30563
"Alaria esculenta",-6.356135,55.24199
"Alaria esculenta",-6.354635,55.24982
"Alaria esculenta",-6.352469,55.24449
"Alaria esculenta",-5.740204,54.92954
"Alaria esculenta",-6.220486,55.30832
"Alaria esculenta",-6.256481,55.29049
"Alaria esculenta",-6.273646,55.30598
"Alaria esculenta",-6.225319,55.29515
"Alaria esculenta",-6.282312,55.29948
"Alaria esculenta",-5.689874,54.80906
"Alaria esculenta",-5.843691,54.90155
"Alaria esculenta",-5.716372,54.84839
"Alaria esculenta",-5.965012,55.04002
"Alaria esculenta",-5.542552,54.36529
"Alaria esculenta",-5.529887,54.34262
"Alaria esculenta",-6.034672,55.10035
"Alaria esculenta",-5.524054,54.32579
"Alaria esculenta",-6.06767,55.19867
"Alaria esculenta",-6.045005,55.17401
"Alaria esculenta",-6.03734,55.17117
"Alaria esculenta",-6.087501,55.20417
"Alaria esculenta",-6.135162,55.224
"Alaria esculenta",-6.267312,55.21933
"Alaria esculenta",-6.618102,55.22499
"Alaria esculenta",-6.489452,55.24999
"Alaria esculenta",-6.590272,55.22099
"Alaria esculenta",-6.531279,55.23299
"Alaria esculenta",-6.695258,55.19666
"Alaria esculenta",-6.533612,55.23332
"Alaria esculenta",-6.723421,55.19049
"Alaria esculenta",-5.525225,54.69224
"Alaria esculenta",-6.175991,55.28132
"Alaria esculenta",-6.277146,55.29032
"Alaria esculenta",-6.287811,55.29365
"Alaria esculenta",-6.256315,55.31082
"Alaria esculenta",-6.256315,55.31082
"Alaria esculenta",-5.759026,54.2323
"Alaria esculenta",-6.255982,55.31198
"Alaria esculenta",-5.535219,54.35345
"Alaria esculenta",-5.553551,54.37295
"Alaria esculenta",-5.744053,54.9515
"Alaria esculenta",-5.513442,54.34198
"Alaria esculenta",-6.047308,55.06086
"Alaria esculenta",-6.042562,55.0629
"Alaria esculenta",-6.116664,55.21067
"Alaria esculenta",-5.961832,54.97566
"Alaria esculenta",-6.711502,55.189
"Alaria esculenta",-6.723167,55.1785
"Alaria esculenta",-6.69334,55.19566
"Alaria esculenta",-6.291163,55.22917
"Alaria esculenta",-5.70987,54.7459
"Alaria esculenta",-6.513338,55.23817
"Alaria esculenta",-6.432829,55.238
"Alaria esculenta",-5.466329,54.52833
"Alaria esculenta",-5.542672,54.48583
"Alaria esculenta",-6.188662,55.2865
"Alaria esculenta",-6.192645,55.29199
"Alaria esculenta",-6.186835,55.262
"Alaria esculenta",-5.959836,54.97334
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-5.966498,54.98017
"Alaria esculenta",-6.049495,55.08784
"Alaria esculenta",-5.635997,54.24517
"Alaria esculenta",-5.70567,54.66783
"Alaria esculenta",-5.748335,54.72533
"Alaria esculenta",-5.78917,54.85083
"Alaria esculenta",-5.625005,54.68034
"Alaria esculenta",-5.737494,54.93017
"Alaria esculenta",-5.635997,54.24517
"Alaria esculenta",-5.796995,54.853
"Alaria esculenta",-6.236932,55.29019
"Alaria esculenta",-6.188662,55.2865
"Alaria esculenta",-6.186835,55.262
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-6.518174,55.23833
"Alaria esculenta",-5.90217,54.09883
"Alaria esculenta",-6.723167,55.1785
"Alaria esculenta",-6.432829,55.238
"Alaria esculenta",-6.111755,55.21218
"Alaria esculenta",-6.657493,55.2115
"Alaria esculenta",-6.711502,55.189
"Alaria esculenta",-6.548832,55.21966
"Alaria esculenta",-7.126832,55.15633
"Alaria esculenta",-6.692663,55.19633
"Alaria esculenta",-5.523689,54.31246
